0	1	1	1	2	2	2
GeneID	infected	infected	infected	control	control	control
XLOC_000232	334	332	243	245	188	162
XLOC_000233	80	65	64	75	55	57
XLOC_000234	172	127	162	149	120	140
XLOC_000235	73	42	62	108	105	82
XLOC_000236	33	14	26	29	25	24
XLOC_000237	18	12	24	26	21	11
XLOC_000238	49	34	58	44	44	34
XLOC_000239	1	1	2	3	0	1
XLOC_000240	234	162	213	224	243	231
XLOC_000241	51	50	59	64	76	67
XLOC_000242	402	294	439	456	367	352
XLOC_000243	89	90	95	166	113	77
XLOC_000244	0	0	0	0	0	0
XLOC_000245	78	91	162	118	90	68
XLOC_000246	9	5	14	3	3	7
XLOC_000247	0	0	0	0	0	0
XLOC_000248	1	4	8	3	6	2
XLOC_000249	8	4	5	4	5	1
XLOC_000250	5	14	11	8	17	7
XLOC_000251	70	64	65	82	51	47
XLOC_000252	22	14	7	19	15	18
XLOC_000253	5	1	5	3	2	6
XLOC_000254	68	59	74	47	44	52
XLOC_000255	10	11	17	17	23	28
XLOC_000256	458	418	563	579	529	413
XLOC_000257	113	84	119	120	92	78
XLOC_000258	7	4	12	8	8	7
XLOC_000259	193	122	158	167	166	152
XLOC_000260	0	0	0	0	0	0
XLOC_000261	5	5	7	13	9	3
XLOC_000262	20	9	11	13	5	11
XLOC_000263	97	82	79	86	74	59
XLOC_000264	64	31	59	60	42	46
XLOC_000265	3	2	5	5	2	2
XLOC_000266	2	1	1	2	2	3
XLOC_000267	24	13	30	6	9	8
XLOC_000268	7	3	2	0	2	4
XLOC_000269	234	185	236	214	173	168
XLOC_000270	959	784	950	682	598	531
XLOC_000271	7	6	13	9	6	10
XLOC_000272	312	227	317	362	257	223
XLOC_000273	1420	1183	1677	2401	1606	1653
XLOC_000274	27	28	44	34	43	27
XLOC_000275	804	768	895	1192	898	895
XLOC_000276	0	0	0	0	0	0
XLOC_000277	53	37	64	56	50	35
XLOC_000278	10	12	15	17	11	14
XLOC_000279	46	35	50	37	31	26
XLOC_000280	7	6	14	11	7	1
XLOC_000281	4	10	6	8	6	8
XLOC_000282	105	103	99	58	46	47
XLOC_000283	1318	900	1184	1045	978	936
XLOC_000284	0	0	0	0	0	0
XLOC_000285	58	57	63	74	46	55
XLOC_000286	321	286	347	284	237	215
XLOC_000287	82	78	67	79	62	68
XLOC_000288	0	1	0	0	0	0
XLOC_000289	2	1	6	2	2	1
XLOC_000290	386	334	362	295	229	224
XLOC_000291	89	65	79	81	81	67
XLOC_000292	1522	1063	1572	2384	2177	2277
XLOC_000293	2	1	2	6	1	2
XLOC_000294	234	212	270	225	170	161
XLOC_000295	80	60	67	67	61	39
XLOC_000296	10	9	12	16	8	7
XLOC_000297	37	48	56	56	53	35
XLOC_000298	46	60	62	34	36	25
XLOC_000299	119	105	140	164	141	125
XLOC_000300	81	62	69	51	36	44
XLOC_000301	242	191	282	280	172	182
XLOC_000302	26	19	20	12	8	18
XLOC_000303	2	0	0	0	0	1
